1f9d1-1f3fb-200d-1f9b2,person-light-skin-tone-bald
1f9d1-1f3fc-200d-1f9b2,person-medium-light-skin-tone-bald
1f9d1-1f3fd-200d-1f9b2,person-medium-skin-tone-bald
1f9d1-1f3fe-200d-1f9b2,person-medium-dark-skin-tone-bald
1f9d1-1f3ff-200d-1f9b2,person-dark-skin-tone-bald
1f471-1f3fb-200d-2640-fe0f,woman-light-skin-tone-blond-hair
1f471-1f3fc-200d-2640-fe0f,woman-medium-light-skin-tone-blond-hair
1f471-1f3fd-200d-2640-fe0f,woman-medium-skin-tone-blond-hair
1f471-1f3fe-200d-2640-fe0f,woman-medium-dark-skin-tone-blond-hair
1f471-1f3ff-200d-2640-fe0f,woman-dark-skin-tone-blond-hair
1f471-1f3fb-200d-2642-fe0f,man-light-skin-tone-blond-hair
1f471-1f3fc-200d-2642-fe0f,man-medium-light-skin-tone-blond-hair
1f471-1f3fd-200d-2642-fe0f,man-medium-skin-tone-blond-hair
1f471-1f3fe-200d-2642-fe0f,man-medium-dark-skin-tone-blond-hair
1f471-1f3ff-200d-2642-fe0f,man-dark-skin-tone-blond-hair
1f9d3-1f3fb,older-person-light-skin-tone
1f9d3-1f3fc,older-person-medium-light-skin-tone
1f9d3-1f3fd,older-person-medium-skin-tone
1f9d3-1f3fe,older-person-medium-dark-skin-tone
1f9d3-1f3ff,older-person-dark-skin-tone
1f474-1f3fb,old-man-light-skin-tone
1f474-1f3fc,old-man-medium-light-skin-tone
1f474-1f3fd,old-man-medium-skin-tone
1f474-1f3fe,old-man-medium-dark-skin-tone
1f474-1f3ff,old-man-dark-skin-tone
1f475-1f3fb,old-woman-light-skin-tone
1f475-1f3fc,old-woman-medium-light-skin-tone
1f475-1f3fd,old-woman-medium-skin-tone
1f475-1f3fe,old-woman-medium-dark-skin-tone
1f475-1f3ff,old-woman-dark-skin-tone
1f64d-1f3fb,person-frowning-light-skin-tone
1f64d-1f3fc,person-frowning-medium-light-skin-tone
1f64d-1f3fd,person-frowning-medium-skin-tone
1f64d-1f3fe,person-frowning-medium-dark-skin-tone
1f64d-1f3ff,person-frowning-dark-skin-tone
1f64d-1f3fb-200d-2642-fe0f,man-frowning-light-skin-tone
1f64d-1f3fc-200d-2642-fe0f,man-frowning-medium-light-skin-tone
1f64d-1f3fd-200d-2642-fe0f,man-frowning-medium-skin-tone
1f64d-1f3fe-200d-2642-fe0f,man-frowning-medium-dark-skin-tone
1f64d-1f3ff-200d-2642-fe0f,man-frowning-dark-skin-tone
1f64d-1f3fb-200d-2640-fe0f,woman-frowning-light-skin-tone
1f64d-1f3fc-200d-2640-fe0f,woman-frowning-medium-light-skin-tone
1f64d-1f3fd-200d-2640-fe0f,woman-frowning-medium-skin-tone
1f64d-1f3fe-200d-2640-fe0f,woman-frowning-medium-dark-skin-tone
1f64d-1f3ff-200d-2640-fe0f,woman-frowning-dark-skin-tone
1f64e-1f3fb,person-pouting-light-skin-tone
1f64e-1f3fc,person-pouting-medium-light-skin-tone
1f64e-1f3fd,person-pouting-medium-skin-tone
1f64e-1f3fe,person-pouting-medium-dark-skin-tone
1f64e-1f3ff,person-pouting-dark-skin-tone
1f64e-1f3fb-200d-2642-fe0f,man-pouting-light-skin-tone
1f64e-1f3fc-200d-2642-fe0f,man-pouting-medium-light-skin-tone
1f64e-1f3fd-200d-2642-fe0f,man-pouting-medium-skin-tone
1f64e-1f3fe-200d-2642-fe0f,man-pouting-medium-dark-skin-tone
1f64e-1f3ff-200d-2642-fe0f,man-pouting-dark-skin-tone
1f64e-1f3fb-200d-2640-fe0f,woman-pouting-light-skin-tone
1f64e-1f3fc-200d-2640-fe0f,woman-pouting-medium-light-skin-tone
1f64e-1f3fd-200d-2640-fe0f,woman-pouting-medium-skin-tone
1f64e-1f3fe-200d-2640-fe0f,woman-pouting-medium-dark-skin-tone
1f64e-1f3ff-200d-2640-fe0f,woman-pouting-dark-skin-tone
1f645-1f3fb,person-gesturing-no-light-skin-tone
1f645-1f3fc,person-gesturing-no-medium-light-skin-tone
1f645-1f3fd,person-gesturing-no-medium-skin-tone
1f645-1f3fe,person-gesturing-no-medium-dark-skin-tone
1f645-1f3ff,person-gesturing-no-dark-skin-tone
1f645-1f3fb-200d-2642-fe0f,man-gesturing-no-light-skin-tone
1f645-1f3fc-200d-2642-fe0f,man-gesturing-no-medium-light-skin-tone
1f645-1f3fd-200d-2642-fe0f,man-gesturing-no-medium-skin-tone
1f645-1f3fe-200d-2642-fe0f,man-gesturing-no-medium-dark-skin-tone
1f645-1f3ff-200d-2642-fe0f,man-gesturing-no-dark-skin-tone
1f645-1f3fb-200d-2640-fe0f,woman-gesturing-no-light-skin-tone
1f645-1f3fc-200d-2640-fe0f,woman-gesturing-no-medium-light-skin-tone
1f645-1f3fd-200d-2640-fe0f,woman-gesturing-no-medium-skin-tone
